1f47d	エイリアン|UFO|ユーフォー|宇宙人|異星人|顔	alien|creature|extraterrestrial|face|fairy|fairytale|fantasy|monster|space|tale|ufo
1f47e	インベーダー|エイリアン|ゲーム|スペースインベーダー|モンスター|宇宙人|異星人	alien monster|alien|creature|extraterrestrial|face|fairy|fairytale|fantasy|game|gamer|games|monster|pixelated|space|tale|ufo
1f916	ロボット|ロボットの顔|顔	robot|face|monster
1f63a	にっこり笑う猫|スマイル|動物|猫|笑顔|顔	grinning cat|animal|cat|face|grinning|mouth|open|smile|smiling
1f638	にやっと笑う猫|スマイル|動物|猫|笑う|笑顔|顔	grinning cat with smiling eyes|animal|cat|eye|eyes|face|grin|grinning|smile|smiling
1f639	嬉し泣きする猫|スマイル|動物|涙|爆笑|猫|笑顔|顔	cat with tears of joy|animal|cat|face|joy|laugh|laughing|lol|tear|tears
1f63b	目がハートの猫|スマイル|ハート|動物|猫|笑顔|顔	smiling cat with heart-eyes|animal|cat|eye|face|heart|heart-eyes|love|smile|smiling
1f63c	にやりとする猫|にやり|ふっ|動物|猫|顔	cat with wry smile|animal|cat|face|ironic|smile|wry
1f63d	猫のキス|キス|ちゅっ|動物|猫|顔	kissing cat|animal|cat|closed|eye|eyes|face|kiss|kissing
1f640	絶望する猫|がーん|ショック|びっくり|動物|猫|顔	weary cat|animal|cat|face|oh|surprised|weary
1f63f	泣いている猫|動物|悲しい|泣く|涙|猫|顔	crying cat|animal|cat|cry|crying|face|sad|tear
1f63e	不機嫌な猫|ぷんぷん|不機嫌|動物|猫|顔	pouting cat|animal|cat|face|pouting
1f648	見ざる|三猿|動物|猿|目隠し|隠す	see-no-evil monkey|embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|omg|prohibited|scared|secret|smh|watch
1f649	聞かざる|三猿|猿|秘密	hear-no-evil monkey|animal|ears|evil|face|forbidden|gesture|hear|listen|monkey|no|not|prohibited|secret|shh|tmi
1f64a	言わざる|三猿|内緒|黙る|猿|秘密	speak-no-evil monkey|animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|stealth
1f48c	ラブレター|ハート|バレンタインデー|封筒|恋文|手紙	love letter|heart|letter|love|mail|romance|valentine
1f498	ハートに矢|キューピッド|ハート|矢	heart with arrow|143|adorbs|arrow|cupid|date|emotion|heart|ily|love|romance|valentine
1f49d	ハートにリボン|ハート|バレンタインデー|リボン|記念日	heart with ribbon|143|anniversary|emotion|heart|ily|kisses|ribbon|valentine|xoxo
1f496	きらきらハート|きらきら|キラキラ|ハート	sparkling heart|143|emotion|excited|good|heart|ily|kisses|morning|night|sparkle|sparkling|xoxo
1f497	大きくなるハート|ドキドキ|ときめき|ハート	growing heart|143|emotion|excited|growing|heart|heartpulse|ily|kisses|muah|nervous|pulse|xoxo
1f493	ドキドキするハート|ドキドキ|ハート|動悸|鼓動	beating heart|143|beating|cardio|emotion|heart|heartbeat|ily|love|pulsating|pulse
1f49e	回転するハート|かわいい|ハート	revolving hearts|143|adorbs|anniversary|emotion|heart|hearts|revolving
1f495	2つのハート|デート|ハート|ラブ|記念日	two hearts|143|anniversary|date|dating|emotion|heart|hearts|ily|kisses|love|loving|two|xoxo
1f49f	ハートデコ|ハート|ハートデコレーション|白いハート|紫のハート	heart decoration|143|decoration|emotion|heart|hearth|purple|white
2763	ハートのびっくり|エクスクラメーションマーク|ハート|びっくりマーク	heart exclamation|exclamation|heart|heavy|mark|punctuation
